House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Breakfast Drive,Robert,Scott,45,Head,Single,Male,Unemployed,None,Christian
2,Breakfast Drive,Ricky,Morris,41,Head,Divorced,Male,Youth worker,None,None
3,Breakfast Drive,Kathleen,Parry,26,Head,Married,Female,Accommodation manager,None,Muslim
3,Breakfast Drive,Steven,Parry,29,Husband,Married,Male,"Administrator, education",None,None
4,Breakfast Drive,Barbara,Pugh,85,Head,Widowed,Female,Retired Airline pilot,None,None
5,Breakfast Drive,Sandra,Baker,25,Head,Single,Female,Systems analyst,None,None
6,Breakfast Drive,Mandy,Turner,64,Head,Divorced,Female,Waste management officer,None,Christian
7,Breakfast Drive,Kathryn,Greenwood,40,Head,Married,Female,"Presenter, broadcasting",None, 
7,Breakfast Drive,Steven,Greenwood,42,Husband,Married,Male,Radiation protection practitioner,None,Catholic
7,Breakfast Drive,Catherine,Greenwood,2,Daughter,NA,Female,Child,None,NA
8,Breakfast Drive,Chelsea,Black,36,Head,Single,Female,"Engineer, electrical",None,Christian
9,Breakfast Drive,Lorraine,Rogers,73,Head,Widowed,Female,Retired Marine scientist,None,Methodist
10,Breakfast Drive,Pauline,Williams,19,Head,Single,Female,University Student,None,None
11,Breakfast Drive,Andrew,Pearson,37,Head,Single,Male,Press sub,None,None
11,Breakfast Drive,Jodie,Marshall,34,Partner,Single,Female,Animal nutritionist,None,None
12,Breakfast Drive,Keith,Henderson,33,Head,Divorced,Male,Veterinary surgeon,None,Christian
13,Breakfast Drive,Kathryn,Richardson,37,Head,Single,Female,"Surveyor, quantity",None,Catholic
13,Breakfast Drive,Frances,Richardson,17,Daughter,NA,Female,Student,None,NA
14,Breakfast Drive,Rebecca,Stephens,52,Head,Single,Female,Immigration officer,None,None
15,Breakfast Drive,Denise,Tucker,51,Head,Married,Female,Occupational therapist,None,None
15,Breakfast Drive,Victor,Tucker,55,Husband,Married,Male,Unemployed,None,None
15,Breakfast Drive,Vincent,Tucker,17,Son,NA,Male,Student,None,NA
16,Breakfast Drive,Shirley,Baker,77,Head,Widowed,Female,"Retired Designer, blown glass/stained glass",None,Catholic
17,Breakfast Drive,Ricky,Davies,24,Head,Widowed,Male,Unemployed,None,Catholic
18,Breakfast Drive,Heather,Bailey,51,Head,Married,Female,Chartered legal executive (England and Wales),None,Christian
18,Breakfast Drive,Declan,Bailey,52,Husband,Married,Male,"Engineer, civil (contracting)",None,None
18,Breakfast Drive,Paul,Bailey,9,Son,NA,Male,Student,None,NA
19,Breakfast Drive,Melanie,Foster,59,Head,Single,Female,"Teacher, English as a foreign language",None,Christian
20,Breakfast Drive,Leon,Johnson,27,Head,Single,Male,"Geneticist, molecular",None,Muslim
20,Breakfast Drive,Kate,Cooper,28,Partner,Single,Female,"Development worker, international aid",None,Muslim
21,Breakfast Drive,Simon,Holland,25,Head,Divorced,Male,Land,None,None
22,Breakfast Drive,Carole,Hall,79,Head,Widowed,Female,Retired Sports therapist,None,Christian
23,Breakfast Drive,Sian,Begum,59,Head,Single,Female,Pharmacologist,None,Methodist
23,Breakfast Drive,Richard,Begum,3,Grandson,NA,Male,Child,None,NA
24,Breakfast Drive,Timothy,Smith,62,Head,Single,Male,Unemployed,None,None
25,Breakfast Drive,Brandon,Owen,57,Head,Married,Male,Diplomatic Services operational officer,None,Christian
25,Breakfast Drive,Amelia,Owen,57,Wife,Married,Female,Ship broker,None,None
26,Breakfast Drive,Josephine,Wyatt,39,Head,Divorced,Female,Chief Financial Officer,None,None
26,Breakfast Drive,Jake,Wyatt,14,Son,NA,Male,Student,None,NA
27,Breakfast Drive,Angela,Mason,19,Head,Divorced,Female,University Student,None,Catholic
28,Breakfast Drive,Kirsty,Hill,57,Head,Single,Female,Public librarian,None,None
28,Breakfast Drive,Sylvia,Burgess,54,None,Single,Female,Pension scheme manager,None,None
28,Breakfast Drive,Leah,Giles,30,None,Single,Female,Dramatherapist,None,None
29,Breakfast Drive,Marilyn,Wade,31,Head,Divorced,Female,Research scientist (medical),None,None
30,Breakfast Drive,Conor,Lewis,38,Head,Divorced,Male,Speech and language therapist,None,Christian
31,Breakfast Drive,Bryan,Ball,63,Head,Divorced,Male,Software engineer,None,Christian
31,Breakfast Drive,Billy,Ball,9,Grandson,NA,Male,Student,None,NA
32,Breakfast Drive,Abbie,Taylor,83,Head,Widowed,Female,Retired Ceramics designer,None,None
33,Breakfast Drive,Dominic,Kelly,32,Head,Single,Male,PhD Student,None,Catholic
33,Breakfast Drive,Zoe,Murray,22,None,Single,Female,University Student,None,None
34,Breakfast Drive,Gareth,Rhodes,48,Head,Single,Male,Advertising account planner,None,Catholic
35,Breakfast Drive,Judith,Begum,46,Head,Divorced,Female,Interior and spatial designer,None,Christian
35,Breakfast Drive,Josh,Walsh,45,Cousin,Divorced,Male,Architectural technologist,None,Christian
36,Breakfast Drive,Stephanie,Blake,86,Head,Divorced,Female,"Retired Embryologist, clinical",None,None
37,Breakfast Drive,Hayley,Gibbons,81,Head,Divorced,Female,Retired Special effects artist,None,None
38,Breakfast Drive,Nigel,Turner,66,Head,Widowed,Male,Electrical engineer,None,None
39,Breakfast Drive,Beth,Matthews,94,Head,Divorced,Female,Retired Computer games developer,None,Christian
40,Breakfast Drive,Molly,Baxter,49,Head,Married,Female,Unemployed,None,Christian
40,Breakfast Drive,Louis,Baxter,49,Husband,Married,Male,"Therapist, drama",None,None
40,Breakfast Drive,Katherine,Baxter,20,Adopted Daughter,Single,Female,University Student,None,Christian
40,Breakfast Drive,Sam,Baxter,16,Son,NA,Male,Student,None,NA
41,Breakfast Drive,Shannon,Johnson,21,Head,Single,Female,University Student,None,None
42,Breakfast Drive,Graham,Higgins,52,Head,Single,Male,Materials engineer,None,Christian
43,Breakfast Drive,Jeffrey,Hicks,55,Head,Single,Male,Unemployed,None,Christian
44,Breakfast Drive,Clive,Dean,45,Head,Divorced,Male,Police officer,None,Christian
45,Breakfast Drive,Shirley,Barker,78,Head,Widowed,Female,Retired Rural practice surveyor,None,None
45,Breakfast Drive,Charlie,Barker,47,Son,Divorced,Male,"Conservation officer, nature",None,None
46,Breakfast Drive,Katherine,Hamilton,52,Head,Divorced,Female,Banker,None,None
46,Breakfast Drive,Christine,Hamilton,24,Daughter,Single,Female,Investment analyst,None,None
46,Breakfast Drive,Owen,Hamilton,24,Son,Single,Male,Unemployed,None,None
47,Breakfast Drive,Cameron,Taylor,59,Head,Divorced,Male,Physiotherapist,None,Muslim
48,Breakfast Drive,Elliot,Cooper,79,Head,Married,Male,Retired Restaurant manager,None,Christian
48,Breakfast Drive,Nicola,Cooper,74,Wife,Married,Female,Retired Manufacturing systems engineer,None,None
49,Breakfast Drive,Melanie,Thorpe,55,Head,Single,Female,"Doctor, hospital",None,Methodist
50,Breakfast Drive,Ashleigh,Barnes,76,Head,Widowed,Female,Retired Environmental health practitioner,None,None
1,Moore Roads,Heather,Griffiths,60,Head,Divorced,Female,Soil scientist,None,Christian
1,Moore Roads,Fiona,Reynolds-Griffiths,31,Daughter,Single,Female,"Geologist, engineering",None,Christian
1,Moore Roads,Rosie,Reynolds-Griffiths,30,Daughter,Single,Female,Futures trader,None,None
1,Moore Roads,Graeme,Reynolds-Griffiths,29,Son,Single,Male,Unemployed,None,Christian
1,Moore Roads,Lucy,Reynolds-Griffiths,29,Daughter,Single,Female,Industrial buyer,None,Christian
2,Moore Roads,Chloe,Wright,32,Head,Married,Female,Chief Marketing Officer,None,None
2,Moore Roads,Mathew,Wright,33,Husband,Married,Male,Fast food restaurant manager,None,None
2,Moore Roads,Judith,Wright,13,Daughter,NA,Female,Student,None,NA
2,Moore Roads,Gordon,Wright,10,Son,NA,Male,Student,None,NA
2,Moore Roads,Allan,Wright,10,Son,NA,Male,Student,None,NA
3,Moore Roads,Lindsey,Carroll,63,Head,Married,Female,Nutritional therapist,None,Christian
3,Moore Roads,Leonard,Carroll,65,Husband,Married,Male,Exhibition designer,None,Christian
3,Moore Roads,Matthew,Carroll,36,Son,Single,Male,Unemployed,None,Christian
4,Moore Roads,Naomi,Storey,49,Head,Single,Female,Civil Service administrator,None,None
4,Moore Roads,James,Williams,52,Partner,Single,Male,Bookseller,None,None
4,Moore Roads,Mitchell,Storey,15,Son,NA,Male,Student,None,NA
4,Moore Roads,Aaron,Storey,14,Son,NA,Male,Student,None,NA
4,Moore Roads,Marie,Storey,11,Daughter,NA,Female,Student,None,NA
4,Moore Roads,Nicholas,Storey,9,Son,NA,Male,Student,None,NA
4,Moore Roads,Gareth,Storey,6,Son,NA,Male,Student,None,NA
5,Moore Roads,Samantha,Patel,28,Head,Married,Female,Unemployed,None,None
5,Moore Roads,Jason,Patel,29,Husband,Married,Male,Animator,None,
5,Moore Roads,Dominic,Patel,12,Son,NA,Male,Student,None,NA
5,Moore Roads,Patrick,Patel,10,Son,NA,Male,Student,None,NA
5,Moore Roads,Bernard,Patel,6,Son,NA,Male,Student,None,NA
6,Moore Roads,Tracey,Thomas,31,Head,Married,Female,Chief Executive Officer,None,Catholic
6,Moore Roads,Toby,Thomas,30,Husband,Married,Male,Unemployed,None,None
6,Moore Roads,Sharon,Thomas,5,Daughter,NA,Female,Student,None,NA
6,Moore Roads,Nicole,Thomas,2,Daughter,NA,Female,Child,None,NA
6,Moore Roads,Denis,Stone,44,Lodger,Single,Male,Police officer,None,None
7,Moore Roads,Sally,Marsden,65,Head,Divorced,Female,Financial planner,None,None
7,Moore Roads,Lindsey,Marsden,39,Daughter,Single,Female,Architectural technologist,None,None
7,Moore Roads,Denise,Marsden,37,Daughter,Single,Female,Administrator,None,None
7,Moore Roads,Katie,Marsden,33,Daughter,Single,Female,"Designer, industrial/product",None,None
7,Moore Roads,Leah,Marsden,29,Daughter,Single,Female,Health and safety inspector,None,None
8,Moore Roads,Leanne,Hunt,61,Head,Married,Female,"Surveyor, building",None,None
8,Moore Roads,William,Hunt,62,Husband,Married,Male,Toxicologist,None,None
8,Moore Roads,Sylvia,Hunt,39,Daughter,Divorced,Female,"Buyer, retail",None,None
8,Moore Roads,Lawrence,Hunt,36,Son,Divorced,Male,"Engineer, automotive",None,None
8,Moore Roads,Gary,Hunt,36,Son,Single,Male,Unemployed,None,None
8,Moore Roads,Leanne,Hunt,33,Daughter,Single,Female,Set designer,None,None
8,Moore Roads,Luke,Hunt,30,Son,Divorced,Male,Unemployed,None,None
9,Moore Roads,Janet,Miller,39,Head,Married,Female,Medical sales representative,None,None
9,Moore Roads,Billy,Miller,41,Husband,Married,Male,Human resources officer,None,None
9,Moore Roads,Paula,Miller,18,Daughter,Divorced,Female,Student,None,None
9,Moore Roads,Tracy,Miller,18,Daughter,Divorced,Female,Student,None,None
9,Moore Roads,Sara,Miller,10,Daughter,NA,Female,Student,None,NA
10,Moore Roads,Arthur,Carter,32,Head,Single,Male,Child psychotherapist,None,None
11,Moore Roads,Harriet,Osborne,42,Head,Divorced,Female,"Accountant, chartered certified",None,None
11,Moore Roads,Luke,Osborne,14,Son,NA,Male,Student,None,NA
12,Moore Roads,Chelsea,Johnston,43,Head,Single,Female,Unemployed,None,Christian
12,Moore Roads,Glen,Lynch,45,Partner,Single,Male,"Therapist, music",None,None
12,Moore Roads,Ronald,Johnston,15,Son,NA,Male,Student,None,NA
12,Moore Roads,Andrew,Johnston,14,Son,NA,Male,Student,None,NA
12,Moore Roads,Maria,Johnston,7,Daughter,NA,Female,Student,None,NA
13,Moore Roads,Rosie,Davies,50,Head,Married,Female,Museum/gallery conservator,None,None
13,Moore Roads,Lawrence,Davies,51,Husband,Married,Male,Unemployed,None,None
